lat,long,nu_ddd_farmacia,nu_telefone_farmacia,nu_cep_farmacia,no_bairro_farmacia,ds_endereco_farmacia,no_farmacia,no_cidade,uf
-32.2368507,-53.0884583,54,33131900,96330000,CENTRO,"AVENIDA VISCONDE DE MAUA, 383",COMERCIO DE MEDICAMENTOS BRAIR LTDA,ARROIO GRANDE,RS
-31.7534998,-52.3127917,54,33350100,96085470,AREAL,AVENIDA DOMINGOS DE ALMEIDA 825 LOJA 01,COMERCIO DE MEDICAMENTOS BRAIR LTDA,PELOTAS,RS
-23.084332,-47.2154624,19,38345604,13330060,CENTRO,"RUA VINTE E QUATRO DE MAIO, 1036",DROGAN DROGARIAS LTDA,INDAIATUBA,SP
-27.0810332,-53.0277679,49,33254232,89885000,CENTRO,"AVENIDA SANTA CATARINA, Nº 101 - A",DROGARIA PATRICIA LTDA,SAO CARLOS,SC
-12.993305,-38.4573902,11,32747400,41810315,PITUBA,RUA ARISTIDES FRAGA LIMA 51,DROGARIA SAO PAULO S.A.,SALVADOR,BA
-25.4329194,-49.1872689,41,33653772,83323410,CENTRO,"AVENIDA SÃO LEOPOLDO JACOMEL, Nº 12485",FARMACIA E DROGARIA NISSEI LTDA,PINHAIS,PR
-23.0803741,-47.2221732,19,38756363,13330000,CENTRO,"RUA XV DE NOVEMBRO, Nº555",DROGAL FARMACÊUTICA LTDA,INDAIATUBA,SP
-24.2101751,-48.3589086,15,35441134,18315000,CENTRO,PRAÇA BOM JESUS 115,JOSE CAMILO RODOLFO - EPP,RIBEIRAO GRANDE,SP
-20.8730463,-47.5849493,16,37611238,14300000,CENTRO,"R MAJOR ANTONIO CANDIDO, 45",UNIMED DE BATATAIS COOPERATIVA DE TRABALHO MEDICO,BATATAIS,SP
-29.6910409,-53.7918474,54,3335-010,97050530,NOSSA SENHORA DAS DORES,"AVENIDA NOSSA SENHORA DAS DORES, 194 - LOJA 01",COMERCIO DE MEDICAMENTOS BRAIR LTDA,SANTA MARIA,RS
-29.937303,-51.1631204,51,33429665,90520000,HIGIENÓPOLIS,AVENIDA PLINIO BRASIL MILANO Nº 02,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,PORTO ALEGRE,RS
-26.765317,-53.1845338,49,36479100,89887000,CENTRO,"AVENIDA BRASIL, 621 - SALA 01",LINCK SANGALLI & CIA LTDA - EPP,PALMITOS,SC
-25.8835554,-52.9197566,46,35815400,85585000,CENTRO,"AVENIDA LUIZ FRANCISCO PAGGI, 800",FARMACIA RONY LTDA,VERE,PR
-30.047104,-52.8935766,54,33350100,96508011,CENTRO,R SETE DE SETEMBRO 1531 LOJA 01,COMERCIO DE MEDICAMENTOS BRAIR LTDA,CACHOEIRA DO SUL,RS
-18.9524654,-49.470759,34,3269-931,38301115,IPIRANGA,"AVENIDA DEP. DANIEL DE FREITAS BARROS, 228",DROGARIA D'SOUZA LTDA - ME,ITUIUTABA,MG
-18.8678474,-48.8799993,34,32831130,38420000,CENTRO,PRAÇA ELIZIARIO DE VASCONCELOS Nº289,DROGARIA PARREIRA LTDA ME,MONTE ALEGRE DE MINAS,MG
-22.7980462,-50.25796,18,33511600,19970000,PARANA,RUA DUQUE DE CAXIAS 08,EDGARD SILLOS NOGUEIRA - ME,PALMITAL,SP
-20.4187502,-51.3417834,18,37422256,15385000,ZONA NORTE,AVENIDA BRASIL NORTE,MOACYR FREGONESI BARBOSA & CIA LTDA,ILHA SOLTEIRA,SP
-29.6113558,-51.0762828,51,35641441,93950000,CENTRO,AVENIDA 25 DE JULHO Nº 575,V.L.R. PEREIRA & CIA LTDA,DOIS IRMAOS,RS
-24.0454196,-52.3826308,44,35232140,87302080,CENTRO,"AVENIDA MANOEL MENDES DE CAMARGO, 890",FARMACIA E DROGARIA CAMPOBRAS LTDA ME,CAMPO MOURAO,PR
-22.7909702,-43.311356,21,24071425,25020140,CENTRO,"JOSE DE ALVARENGA, 438",DROGARIAS PACHECO S/A,DUQUE DE CAXIAS,RJ
-28.6004809,-55.8165387,54,33350100,97670000,CENTRO,"RUA GENERAL MARQUES, 1226 - TERREO",COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO BORJA,RS
-26.1606071,-51.5367002,42,35531215,84640000,CENTRO,AV DR OSCAR  GEYER Nº689 SALA 01,CLEMENS FIORELLI E CIA LTDA-EPP,BITURUNA,PR
-26.3410481,-51.038615,49,35660626,89560000,CENTRO,"AVENIDA DOM PEDRO II, 73",FARMÁCIA GEREMIAS LTDA,VIDEIRA,SC
-1.3499136,-48.4624922,91,30844609,66810000,CRUZEIRO,"TRAV CRISTOVAO COLOMBO , 590",DISTRIBUIDORA BIG BENN LTDA,BELEM,PA
-22.8993193,-47.1733836,19,39655858,13185230,SANTA IZABEL,"R. ANTONIO FERNANDES LEITE, Nº 360",DROGAL FARMACEUTICA LTDA,HORTOLANDIA,SP
-22.8414305,-43.2606128,21,24071425,21021480,OLARIA,"ANDRE AZEVEDO, Nº 150",DROGARIAS PACHECO S/A,RIO DE JANEIRO,RJ
-22.4436524,-46.8095467,19,38638319,13973255,PARQUE FELICIDADE,"AVENIDA BRASIL, 1606",ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,ITAPIRA,SP
-23.9423099,-46.3031223,13,33522122,11450001,VILA ALICE,"AVENIDA THIAGO FERREIRA,787",RAIA DROGASIL S/A,GUARUJA,SP
-18.8867261,-48.2822882,34,32574984,38401730,PLANALTO,"AV INDAIA, Nº1203",DROGARIA PORTO DO GLORIA LTDA,UBERLANDIA,MG
-27.7734456,-48.6295046,48,32421086,88131000,CENTRO,RUA  JOSÉ MARIA DA LUZ  Nº2754,FARMÁCIA COELHO LTDA,PALHOCA,SC
-29.1902046,-51.5295439,54,3335-010,95700000,SAO ROQUE,"AVENIDA SAO ROQUE, 452 - LOJA 01",COMERCIO DE MEDICAMENTOS BRAIR LTDA,BENTO GONCALVES,RS
-20.849299,-41.113159,21,24071425,29300170,CENTRO,"PC JERONIMO MONTEIRO, 82",DROGARIAS PACHECO S/A,CACHOEIRO DE ITAPEMIRIM,ES
-28.2576577,-52.416585,54,33136641,99025000,CENTRO,"AVENIDA BRASIL OESTE, 362 - Loja Térrea",CIA LATINO AMERICANA DE MEDICAMENTOS,PASSO FUNDO,RS
-17.7894412,-50.9354742,34,32415557,38446093,AMORIM,"RUA COROMANDEL, 323",BERNARDES & REZENDE LTDA.EPP,ARAGUARI,MG
-30.0280393,-51.224575,51,32269556,90020120,CENTRO,RUA DOUTOR  FLORES N° 252,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,PORTO ALEGRE,RS
-24.6749827,-53.7959639,45,32788011,85906070,JARDIM PORTO ALEGRE,"AVENIDA PARIGOT DE SOUZA, Nº 250",WELTER & FUCK LTDA - EPP,TOLEDO,PR
-22.9030342,-43.1092881,21,27046701,24220001,ICARAI,"RUA TAVARES DE MACEDO, 10 - LJ.101/102/103",RAIA DROGASIL S/A,NITEROI,RJ
-25.4737714,-49.2886288,42,32727611,84261000,CENTRO,AVENIDA HORACIO KLABIN 532 SALA B,CIA LATINO AMERICANA DE MEDICAMENTOS,TELEMACO BORBA,PR
-20.3799524,-40.400595,27,33441700,29135000,MARCILIO DE NORONHA,"rua VITORIA, 10",VIP PHARMA COMERCIO E REPRESENTACOES LTDA - ME,VIANA,ES
-23.3057173,-51.4033038,43,32563277,8660000,VILA OLIVEIRA,r REINALDO MASSI 909,FARMACIA SCATOLIN LTDA - ME,ROLANDIA,PR
-18.5768777,-46.5006208,34,3822-811,38703218,NOVA FLORESTA,"RUA PONTO CHIC, 1044",DROGA ZEN LTDA - ME,PATOS DE MINAS,MG
-29.4895421,-51.9705179,51,37663612,95870000,BAIRRO ALTO DA BRONZE,"RUA INHANDAVA, 64 - CASA",DROGARIA BOM RETIRO LTDA.,BOM RETIRO DO SUL,RS
-23.5426745,-46.6489961,11,38128912,5406150,PINHEIROS,RUA TEODORO SAMPAIO Nº 1914,DROGASIL S.A.,SAO PAULO,SP
-20.7325756,-46.8834613,35,35331787,37970000,CENTRO,"RUA ABRAO FADUL, Nº 51",DROGARIA ROCHA E LARA LTDA ME,PRATAPOLIS,MG
-15.0998713,-44.093692,38,36131303,39470000,CENTRO,"RUA JANUARIA, 251",CARDOSO PRADO FARMACEUTICA LTDA,ITACARAMBI,MG
-8.3837966,-36.8658086,87,38352856,55200000,CENTRO,"RUA DR LIDIO PARAIBA, 22 - C",V F LEITE LTDA ME,PESQUEIRA,PE
-26.7281496,-49.0678216,47,33781220,89095300,VILA ITOUPAVA,"HENRIQUE CONRAD, 491",FARMACIA NOVA LTDA EPP,BLUMENAU,SC
-29.7938785,-51.8575614,51,36531991,95860000,CENTRO,"RUA SETE DE SETEMBRO, 2027",M B BIZARRO & CIA LTDA ME,TAQUARI,RS
-29.6174815,-51.1615051,51,35631387,93900000,HARMONIA,"PRESIDENTE LUCENA, 1623",DROGARIA IVOTI LTDA,IVOTI,RS
-23.5005419,-47.4563946,15,32116535,18010010,CENTRO,AV MOREIRA CESAR,DROGASIL S.A,SOROCABA,SP
-25.46277,-50.0424484,42,32522548,84130000,CENTRO,"RUA CEL PEDRO FERREIRA, 42",SILVANA NUNES DE LIMA - ME,PALMEIRA,PR
-15.8127674,-47.9026548,61,32440649,70354540,ASA SUL,HABITACOES COLETIVAS SUL COMERCIO LOCAL - QD.307 - BL.D - LJ.11,DROGASIL SA,BRASILIA,DF
-20.4059562,-44.5353869,37,33841819,35514000,CENTRO,RUA MÁRIO LIMA Nº 46 LOJA 02,DROGARIA CONQUISTA LTDA ME,ITAGUARA,MG
-22.8878101,-43.1226229,11,32747400,24020087,CENTRO,"RUA DA CONCEICAO, 188 - LOJA 127, 128, 131 E 227",DROGARIA SAO PAULO S.A.,NITEROI,RJ
-25.4297854,-49.2613339,41,32138344,80060000,CENTRO,RUA XV DE NOVEMBRO 1146,FARMACIA E DROGARIA NISSEI LTDA,CURITIBA,PR
